step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,3157,22.0,3.35319,11.1032,10.005,-5.041,-5.391,0
1,13000000,3603,25.0,10.0155,1.08852,0.789125,-5.617,-5.185,0
1,13000000,3607,25.0,9.49684,2.18447,1.26491,-4.974,-5.211,0
1,13000000,1535,11.0,10.7889,0.562198,4.7856,-9.412,-6.339,1
1,13000000,1534,11.0,10.648,0.917033,4.83415,-5.638,-6.468,1
1,13000000,88,1.0,7.8511,5.81328,4.76458,-8.308,-6.446,1
1,13000000,1532,11.0,10.2563,1.29219,5.16549,-6.807,-6.745,1
1,13000000,8398,56.0,3.69975,8.46302,13.8572,-5.407,-5.255,0
1,13000000,3604,25.0,9.95954,1.29896,1.11353,-4.24,-5.364,0
1,13000000,3605,25.0,9.8095,1.65153,1.03478,-6.239,-5.324,0
1,13000000,3156,22.0,3.46513,10.932,9.67351,-5.305,-5.278,0
1,13000000,8397,56.0,3.84195,8.69175,14.1333,-5.845,-5.232,0
1,13000000,3606,25.0,9.66414,1.83687,1.35276,-5.796,-5.284,0
1,13000000,1533,11.0,10.3046,0.921301,5.01341,-7.196,-6.501,1
1,13000000,8396,56.0,3.89205,9.0646,14.008,-6.922,-5.3,0
1,13000000,3608,25.0,9.34341,2.33656,1.57983,-5.19,-5.141,0
1,13000000,4883,33.0,8.82969,12.3153,12.3776,-2.788,-4.743,0
1,13000000,6606,45.0,7.02386,8.2781,3.14204,-3.97,-5.178,0
1,13000000,8394,56.0,4.1336,9.64889,14.0308,-6.803,-5.305,0
1,13000000,854,6.0,13.5499,14.5336,8.07656,-6.041,-5.712,1
1,13000000,3169,22.0,2.80893,9.33606,12.1401,-5.114,-5.212,0
1,13000000,3168,22.0,2.47534,9.53895,12.1856,-4.959,-5.227,0
1,13000000,79,1.0,9.75743,3.59096,4.3613,-6.47,-6.234,1
1,13000000,80,1.0,9.61849,3.86334,4.60718,-6.3,-6.434,1
1,13000000,84,1.0,8.71201,4.84092,4.7846,-4.061,-6.456,1
1,13000000,83,1.0,8.79848,4.47141,4.70392,-6.653,-6.269,1
1,13000000,82,1.0,9.17589,4.34407,4.73854,-5.902,-6.429,1
1,13000000,81,1.0,9.27798,4.03226,4.52547,-9.384,-6.274,1
1,13000000,855,6.0,13.3235,14.651,8.38076,-7.571,-5.838,1
1,13000000,78,1.0,10.1116,3.44073,4.45047,-4.406,-6.55,1
1,13000000,1449,10.0,3.02967,8.61378,11.059,-6.196,-5.29,0
1,13000000,3176,22.0,4.55099,8.5234,13.3252,-6.661,-5.302,0
1,13000000,3172,22.0,3.6444,9.24326,12.6966,-4.708,-5.329,0
1,13000000,1448,10.0,3.08873,8.80639,10.7287,-6.694,-5.252,0
1,13000000,856,6.0,13.1762,15.0049,8.34568,-5.344,-6.035,1
1,13000000,8386,56.0,4.14038,11.7259,14.0505,-6.431,-5.195,0
1,13000000,8385,56.0,3.78646,11.8736,13.9768,-4.332,-5.238,0
1,13000000,8387,56.0,4.32419,11.642,13.7096,-4.783,-5.266,0
