atom_id,umap1,umap2,S_avg,c_label
145,0.113644205,4.2032475,-5.344,0
146,-0.19059692,0.5336439,-5.263,0
147,-1.2026532,2.1475894,-5.268,0
148,-1.621138,-0.7722728,-5.219,0
149,-2.0110626,1.9635199,-5.216,0
150,-1.9334166,1.8286245,-5.224,0
151,-1.8898444,3.3803172,-5.38,0
152,-0.05050606,1.853652,-5.32,0
153,-2.518403,-0.8424999,-5.45,0
154,-0.36001974,0.5684154,-5.404,0
155,-2.6833045,-0.44485065,-5.561,0
156,-1.4035532,1.1968052,-5.496,0
157,-2.759503,0.14033417,-5.616,0
158,-0.59026027,2.5087667,-5.563,0
159,1.7394098,2.6763134,-5.609,0
160,-0.3555026,2.7026234,-5.661,0
161,-0.7852457,4.5119457,-5.962,1
162,-0.36304677,4.0829372,-5.862,1
163,3.206927,3.5163004,-6.272,1
164,3.4571137,3.9972234,-6.225,1
165,3.225479,3.5952654,-6.534,1
166,3.3079681,3.8775945,-6.512,1
167,1.535739,2.5751529,-6.129,0
168,2.0301285,2.8068855,-6.146,0
169,3.1238372,3.7767894,-5.86,0
170,2.8620906,3.4732945,-5.87,0
171,1.3526275,2.5726247,-5.628,0
172,-2.4874759,2.8593292,-5.627,0
173,-0.96128535,2.5887501,-5.42,0
174,-0.06716924,3.3804755,-5.441,0
175,-0.63777417,-1.080745,-5.416,0
176,-2.489115,1.1444062,-5.392,0
177,-0.13201164,4.882329,-5.297,0
178,-2.8413813,0.60186607,-5.245,0
179,-1.0059928,-0.9163082,-5.203,0
180,-0.39568812,-0.7010915,-5.175,0
181,0.18157901,3.9253554,-5.246,0
182,-0.04000149,6.002432,-5.396,0
183,-0.4176021,6.2486696,-5.396,0
184,-0.3519642,6.2314754,-5.409,0
185,0.48270968,2.2374218,-5.236,0
186,-2.181543,1.1968188,-5.267,0
187,0.10160891,3.2266371,-5.205,0
188,-2.2546592,0.9069141,-5.149,0
189,-1.6127768,3.8251777,-5.115,0
190,-0.36781195,-1.0889664,-4.994,0
191,-0.29588953,1.9667664,-4.928,0
192,-0.99298996,2.3753788,-5.062,0
193,-2.0916576,3.2260127,-5.16,0
194,0.12000539,2.573984,-5.264,0
195,-1.1030258,-1.2028333,-5.339,0
