row,umap1,umap2
2225,5.5490975,0.34255153
2226,0.7957652,1.4175203
2227,-2.7386458,3.4467592
2228,4.1172295,-0.8109598
2229,-2.7093883,5.2063556
2230,-2.2916539,4.9377637
2231,6.019867,1.5603029
2232,1.677155,8.001107
2233,5.0805984,1.9987173
2234,-1.4685907,4.327559
2235,-0.45798722,3.0576816
2236,-0.833489,2.4506686
2237,-0.10262516,2.2773607
2238,-0.88916624,0.37135565
2239,0.5837556,-0.353501
2240,-0.077420555,0.670695
2241,-0.3153848,-0.39576882
2242,0.5058624,-0.59649336
2243,-1.939748,0.10832931
2244,2.5490901,-0.6577385
2245,-3.00999,3.023325
2246,-2.0653982,0.949364
2247,-12.864922,3.438585
2248,14.153637,12.857996
2249,16.560347,5.289823
2250,16.531435,5.2522345
2251,14.307901,12.703433
2252,-12.835308,3.469633
2253,-3.3944051,1.2948583
2254,-3.2097147,3.2949178
2255,4.450064,-0.4867799
2256,-3.5303319,2.45109
2257,-2.920597,2.7042747
2258,0.8060225,-1.0032872
2259,0.04350558,-1.0637282
2260,-1.3407398,-0.6310581
2261,0.41984418,-0.2781602
2262,2.8222737,-0.30136564
2263,2.6211357,3.238577
2264,3.0798018,3.7825358
2265,1.98809,3.4830012
2266,5.167415,0.3371015
2267,-3.1931305,4.7584662
2268,-0.115235366,1.497365
2269,-0.4096512,1.7291211
2270,-0.996064,2.0984874
2271,0.66191506,1.2244053
2272,-3.5823298,2.1967924
2273,3.3061302,-0.92840236
2274,-2.857232,1.8874863
2275,-3.6356187,2.648681
2276,4.4413443,-0.8224153
2277,-1.8848946,2.6362555
2278,-3.2922575,4.1818705
2279,-0.5352741,1.3170724
2280,2.5901043,4.567963
2281,2.4136002,4.7799544
2282,4.202011,5.775776
2283,4.6495433,0.53183734
2284,-2.2657287,1.8163487
2285,-2.4040608,2.5325077
2286,4.494551,-0.59123033
2287,-1.9267792,2.7762618
2288,-2.5683835,3.6449509
2289,3.3591506,-0.34766456
2290,2.0704002,0.15301123
2291,2.9470594,-0.37698057
2292,-2.464014,1.9971735
2293,-0.327111,2.0117655
2294,0.07443833,1.0683563
2295,0.13199854,1.1684604
2296,-0.8853679,0.46689236
2297,-3.0993257,2.0019042
2298,0.95150906,0.33735916
2299,0.008903022,1.329046
2300,-2.448363,4.8955827
2301,5.7921824,1.3657008
2302,-1.6128801,5.236635
2303,2.5156047,7.801877
2304,3.4308016,8.791032
2305,3.1273758,5.679306
2306,5.3196874,0.857606
2307,0.7589071,0.72759223
2308,-2.5043955,0.9284129
2309,-0.4868459,1.1923419
2310,4.69046,0.314323
2311,2.7400947,4.3233457
2312,4.0742292,5.540132
2313,4.3780384,0.33114803
2314,-2.4817462,1.038066
2315,-3.61126,2.0859883
2316,3.6743217,-0.16788733
2317,3.7665029,3.3396437
2318,2.9852018,-0.3539207
2319,-2.2324126,1.8381658
2320,-0.2836279,0.8313401
2321,0.21051615,-0.15880468
2322,-3.101056,1.8585768
2323,3.9905336,-0.6272049
2324,4.531965,0.28715718
2325,-3.2358735,1.969962
2326,-0.9732969,0.46837378
2327,-0.18015912,1.4439746
2328,-3.2385707,3.0845685
2329,4.4811172,0.5960007
2330,4.169309,6.390022
2331,2.092144,5.272684
2332,4.737045,0.69193125
2333,-1.4533191,3.0668488
2334,3.005707,4.5663614
2335,4.371669,-0.8112773
2336,-2.4888668,2.2773354
2337,-1.657522,1.4487133
2338,3.7954433,-0.5988111
2339,3.205382,2.750241
2340,-2.8942208,0.46938935
2341,-3.274033,1.1602817
2342,3.2830944,-0.72278595
2343,3.8655045,4.7699437
2344,3.3057053,3.3035429
2345,3.4364283,-0.005552418
2346,-3.5209813,2.6436832
2347,-2.2447686,3.2750187
